gid,id,team,p_seq,stattype,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,wp,lp,save,p_gs,p_gf,p_cg,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp,pitches,entry,score_v,score_h,inherited,suspend,temp,hometeam,year,day,home,margin,absMargin,pitcherRole,suspended,relief,rest,p1,p3,p7,previous,consecutive,ubb,net,y,priorRelief,prior_net,prior_p_bfp,baseline,doubleAppearance,restGroup,b2b,rest1,rest2,heavyYesterday,threeDays,p3_10,p7_10,month
NYA202308010,abrea001,NYA,3,value,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,20230801,0,NYC21,h,TBA,0,1,0,regular,y,y,11.000000,7,5,0,0,,78,NYA,2023,2023-08-01,1,-5,5,True,False,True,1,0.000000,34.000000,45.000000,34.000000,0,1,-1,-0.333333,35,28,195,0.145763,False,1 day,0,1,0,0,0,3.400000,4.500000,8
NYA202308040,abrea001,NYA,2,value,5,0,8,1,1,0,0,2,2,2,0,1,0,1,0,0,0,1,0,0,,,,,,,20230804,0,NYC21,h,HOU,0,1,0,regular,y,y,40.000000,5,5,1,0,,74,NYA,2023,2023-08-04,1,-4,4,True,False,True,2,0.000000,11.000000,45.000000,11.000000,0,2,-1,-0.125000,36,27,198,0.140940,False,2 days,0,0,1,0,0,1.100000,4.500000,8
NYA202308060,abrea001,NYA,5,value,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,1.000000,,20230806,0,NYC21,h,HOU,0,1,0,regular,y,y,10.000000,9,9,7,0,,81,NYA,2023,2023-08-06,1,-2,2,True,False,True,1,0.000000,40.000000,85.000000,40.000000,0,0,1,0.333333,37,26,206,0.133987,False,1 day,0,1,0,0,0,4.000000,8.500000,8
CHA202308090,abrea001,NYA,5,value,1,3,4,2,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,,,,,,,20230809,0,CHI12,v,CHA,0,1,0,regular,y,y,14.000000,7,2,5,1,,76,CHA,2023,2023-08-09,0,-3,3,True,False,True,2,0.000000,10.000000,50.000000,10.000000,0,1,-1,-0.250000,38,27,209,0.135922,False,2 days,0,0,1,0,0,1.000000,5.000000,8
ATL202308140,abrea001,NYA,3,value,9,0,15,4,0,0,1,3,3,3,0,2,0,1,0,0,0,0,0,0,,,,,1.000000,,20230814,0,ATL03,v,ATL,0,1,0,regular,y,y,49.000000,6,2,8,0,,91,ATL,2023,2023-08-14,0,-6,6,True,False,True,4,0.000000,0.000000,14.000000,14.000000,0,3,-1,-0.066667,39,26,213,0.130990,False,3+ days,0,0,0,0,0,0.000000,1.400000,8
NYA202308190,abrea001,NYA,4,value,9,0,16,4,1,0,1,2,1,2,0,1,1,1,0,0,0,0,0,0,,,,,1.000000,,20230819,0,NYC21,h,BOS,0,1,0,regular,y,y,56.000000,7,6,1,0,,73,NYA,2023,2023-08-19,1,-5,5,True,False,True,4,0.000000,0.000000,49.000000,49.000000,0,2,-1,-0.062500,40,25,228,0.121951,False,3+ days,0,0,0,0,0,0.000000,4.900000,8
NYA202308240,abrea001,NYA,5,value,3,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,20230824,0,NYC21,h,WAS,0,1,0,regular,y,y,14.000000,8,5,3,0,,74,NYA,2023,2023-08-24,1,-2,2,True,False,True,4,0.000000,0.000000,56.000000,56.000000,0,1,-1,-0.250000,41,24,244,0.113372,False,3+ days,0,0,0,0,0,0.000000,5.600000,8
TBA202308270,abrea001,NYA,5,value,3,0,5,1,1,0,0,1,1,0,0,1,1,0,0,0,0,2,0,0,,,,,1.000000,,20230827,0,STP01,v,TBA,0,1,0,regular,y,y,23.000000,8,4,6,0,,72,TBA,2023,2023-08-27,0,-2,2,True,False,True,2,0.000000,14.000000,14.000000,14.000000,0,0,1,0.200000,42,23,248,0.109195,False,2 days,0,0,1,0,0,1.400000,1.400000,8
DET202308310,abrea001,NYA,4,value,3,0,6,1,1,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,,,,,,,20230831,0,DET05,v,DET,0,1,0,regular,y,y,28.000000,8,0,3,0,,68,DET,2023,2023-08-31,0,-3,3,True,False,True,3,0.000000,0.000000,37.000000,23.000000,0,2,0,0.000000,43,24,253,0.110482,False,3+ days,0,0,0,0,0,0.000000,3.700000,8
NYA202309070,abrea001,NYA,3,value,6,0,9,3,0,0,1,2,2,0,0,3,0,0,0,0,0,0,0,0,,,,,,,20230907,0,NYC21,h,DET,0,1,0,regular,y,y,30.000000,7,8,3,0,,90,NYA,2023,2023-09-07,1,-5,5,True,False,True,6,0.000000,0.000000,28.000000,28.000000,0,0,3,0.333333,44,24,259,0.108635,False,3+ days,0,0,0,0,0,0.000000,2.800000,9
MIN202304090,abreb002,HOU,2,value,3,0,4,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,,,,,,,20230409,0,MIN04,v,MIN,1,0,0,regular,y,y,24.000000,8,5,1,0,,62,MIN,2023,2023-04-09,0,4,4,True,False,True,1,0.000000,14.000000,46.000000,14.000000,0,1,2,0.500000,5,4,18,0.161017,False,1 day,0,1,0,0,0,1.400000,4.600000,4
PIT202304120,abreb002,HOU,3,value,3,0,5,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,,,,,,,20230412,0,PIT08,v,PIT,1,0,0,regular,y,y,23.000000,8,7,0,0,,77,PIT,2023,2023-04-12,0,7,7,True,False,True,2,0.000000,24.000000,54.000000,24.000000,0,1,1,0.200000,6,6,22,0.172131,False,2 days,0,0,1,0,0,2.400000,5.400000,4
